dateVector,songs,headlines
"
Apr
30
2023

",Miss Americana & The Heartbreak Prince," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Cruel Summer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The Man," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",You Need To Calm Down," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Lover," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The Archer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Fearless," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",You Belong With Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Love Story," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",'Tis The Damn Season," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Willow," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Marjorie," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Champagne Problems," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Tolerate It," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",...Ready For It?," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Delicate," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Don't Blame Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Look What You Made Me Do," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Enchanted," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",22," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",We Are Never Ever Getting Back Together," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",I Knew You Were Trouble," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",All Too Well (10 Minute Version)," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The 1," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Betty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The Last Great American Dynasty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",August," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Illicit Affairs," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",My Tears Ricochet," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Cardigan," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Style," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Blank Space," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Shake It Off," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Wildest Dreams," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Bad Blood," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",I Bet You Think About Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",How You Get The Girl," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Lavender Haze," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Anti‐Hero," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Midnight Rain," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Vigilante Shit," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Bejeweled," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Mastermind," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Karma," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Miss Americana & The Heartbreak Prince," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Cruel Summer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",The Man," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",You Need To Calm Down," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Lover," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",The Archer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Fearless," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",You Belong With Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Love Story," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",'Tis The Damn Season," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Willow," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Marjorie," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Champagne Problems," Mercedes-Benz Stadium, Atlanta, GA, USA"
